Study file,N,Mean age,SD age,Female %,Male %,Prefer not say %,Campus %,Online %
Overall,2140,26.180374,10.611689,58.271028,40.140187,1.588785,42.663551,28.785047
study1_memory_data.csv,264,24.393939,9.079084,55.30303,43.181818,1.515152,46.212121,32.19697
study2_memory_data.csv,289,25.346021,10.126526,58.823529,39.792388,1.384083,48.788927,26.989619
study3_memory_data.csv,410,24.785366,9.976392,58.536585,39.512195,1.95122,44.634146,33.902439
study4_memory_data.csv,516,28.465116,11.6636,57.170543,40.891473,1.937984,39.341085,21.899225
study5_memory_data.csv,318,25.273585,10.075926,59.748428,38.050314,2.201258,44.654088,31.446541
study6_memory_data.csv,343,27.329446,11.009801,60.058309,39.650146,0.291545,35.568513,29.446064
